,name,continente,lat,lon,main,description,main-temp,main-feels_like,main-temp_min,main-temp_max,main-pressure,main-humidity,main-sea_level,main-grnd_level,visibility,wind-speed,wind-deg,wind-gust,rain-1h,snow-1h,clouds-all,dt
0,Cairo,Africa,30.0443879,31.2357257,Clear,cielo claro,17.33,16.87,16.81,17.33,1020,67,1020,1014,10000,3.6,60,0.0,0.0,0.0,0,2025-12-02 21:19:41+01:00
1,Abuja,Africa,9.0643305,7.4892974,Clouds,nubes dispersas,28.3,27.32,28.3,28.3,1008,30,1008,956,10000,0.99,282,1.09,0.0,0.0,48,2025-12-02 21:16:02+01:00
2,Nairobi,Africa,-1.30326415,36.826384099341595,Clouds,muy nuboso,18.75,18.46,18.75,18.75,1015,68,1015,838,10000,5.66,70,0.0,0.0,0.0,75,2025-12-02 21:19:41+01:00
3,Addis Ababa,Africa,9.0107934,38.7612525,Clouds,algo de nubes,13.86,12.53,13.86,13.86,1018,47,1018,774,10000,2.57,70,0.0,0.0,0.0,20,2025-12-02 21:19:41+01:00
4,Pretoria,Africa,-25.7459277,28.1879101,Clouds,nubes,15.31,15.48,15.31,15.31,1013,99,1013,868,10000,1.94,128,4.28,0.0,0.0,99,2025-12-02 21:19:41+01:00
5,Washington,America,38.8950368,-77.0365427,Clouds,nubes,4.92,1.69,3.99,5.67,1008,88,1008,1000,10000,4.12,330,0.0,0.0,0.0,100,2025-12-02 21:19:52+01:00
6,Ottawa,America,45.4208777,-75.6901106,Clouds,algo de nubes,-4.36,-9.74,-5.44,-3.34,1015,73,1015,1003,10000,4.12,50,0.0,0.0,0.0,20,2025-12-02 21:18:29+01:00
7,Mexico City,America,19.4326296,-99.1331785,Clouds,nubes dispersas,24.94,24.14,24.94,24.94,1011,25,1011,762,9656,0.0,0,0.0,0.0,0.0,40,2025-12-02 21:19:41+01:00
8,Brasília,America,-15.7934036,-47.8823172,Clouds,nubes dispersas,23.78,23.88,23.78,24.75,1008,64,1008,886,10000,5.14,310,0.0,0.0,0.0,40,2025-12-02 21:19:52+01:00
9,Buenos Aires,America,-34.6075682,-58.4370894,Clouds,nubes dispersas,25.57,25.78,24.98,27.94,1010,61,1010,1009,10000,2.57,190,0.0,0.0,0.0,40,2025-12-02 21:17:18+01:00
10,Beijing,Asia,39.906217,116.3912757,Clear,cielo claro,-7.06,-14.06,-7.06,-7.06,1031,14,1031,1025,10000,5.78,304,12.65,0.0,0.0,0,2025-12-02 21:19:41+01:00
11,Tokyo,Asia,35.6768601,139.7638947,Clouds,muy nuboso,11.81,11.32,9.99,12.13,1009,87,1009,1007,8000,1.54,350,0.0,0.0,0.0,75,2025-12-02 21:19:52+01:00
12,New Delhi,Asia,28.6138954,77.2090057,Mist,niebla,12.07,11.47,12.07,12.07,1016,82,1016,990,2500,0.0,0,0.0,0.0,0.0,0,2025-12-02 21:16:33+01:00
13,Seoul,Asia,37.5666791,126.9782914,Clear,cielo claro,-7.24,-13.69,-7.24,-7.24,1026,35,1026,1016,10000,4.63,360,0.0,0.0,0.0,0,2025-12-02 21:19:33+01:00
14,Riyadh,Asia,24.638916,46.7160104,Clouds,nubes dispersas,19.83,18.6,19.83,19.83,1017,28,1017,945,10000,3.67,124,4.64,0.0,0.0,30,2025-12-02 21:19:41+01:00
15,Madrid,Europa,40.4167047,-3.7035825,Clouds,nubes dispersas,5.58,2.81,4.8,6.25,1014,87,1014,939,10000,3.6,250,0.0,0.0,0.0,40,2025-12-02 21:19:52+01:00
16,Paris,Europa,48.8588897,2.3200410217200766,Clouds,nubes,8.17,5.24,7.75,8.91,1010,93,1010,1000,10000,5.14,170,0.0,0.0,0.0,100,2025-12-02 21:19:52+01:00
17,Berlin,Europa,52.5170365,13.3888599,Clear,cielo claro,2.02,-1.53,0.05,3.3,1015,93,1015,1010,10000,3.6,140,0.0,0.0,0.0,0,2025-12-02 21:18:56+01:00
18,Rome,Europa,41.8933203,12.4829321,Clear,cielo claro,8.9,7.14,7.79,9.34,1014,92,1014,1006,10000,3.09,100,0.0,0.0,0.0,0,2025-12-02 21:19:20+01:00
19,London,Europa,51.5073219,-0.1276474,Clouds,muy nuboso,7.83,6.2,6.64,8.65,1005,91,1005,1001,10000,2.57,160,0.0,0.0,0.0,75,2025-12-02 21:19:41+01:00
20,Canberra,Oceania,-35.2975906,149.1012676,Clear,cielo claro,8.71,7.64,7.94,9.91,1019,89,1019,942,10000,2.06,140,0.0,0.0,0.0,7,2025-12-02 21:19:52+01:00
21,Wellington,Oceania,-41.2887953,174.7772114,Clouds,nubes,13.26,13.04,12.67,13.95,1001,92,1001,989,10000,7.2,180,0.0,0.0,0.0,100,2025-12-02 21:19:52+01:00
22,Port Moresby,Oceania,-9.4743301,147.1599504,Clouds,muy nuboso,26.22,26.22,26.22,26.22,1008,82,1008,1006,10000,1.63,61,1.97,0.0,0.0,71,2025-12-02 21:19:52+01:00
23,Suva,Oceania,-18.1415884,178.4421662,Clouds,algo de nubes,26.71,28.66,26.71,26.71,1013,74,1013,1010,10000,1.03,0,0.0,0.0,0.0,20,2025-12-02 21:19:41+01:00
24,Apia,Oceania,-13.8343691,-171.7692793,Rain,lluvia ligera,29.95,36.16,29.95,29.95,1012,75,1012,1011,10000,2.24,100,2.13,0.18,0.0,12,2025-12-02 21:19:52+01:00
